"","id","age","sex","height","weight","dog","dog_type","bmi","overweight"
"45",45,23,"M",70.3,195.6,"no",NA,27.823613086771,0
"46",46,25,"M",68.2,160.7,"no",NA,24.2885983092681,0
"47",47,48,"F",63.6,145.1,"yes","husky",25.2178760729402,0
"48",48,45,"F",64.4,126.7,"yes","retriever",21.4763367539833,0
"49",49,38,"M",71,192.6,"yes","lab",26.8593136282484,0
"50",50,44,"F",64,117.1,"yes","poodle",20.0979736328125,0
"51",51,52,"F",61.5,125.2,"yes","poodle",23.2706986582061,0
"52",52,80,"F",62.4,125.1,"no",NA,22.5862148668639,0
"53",53,53,"M",68.6,185.7,"no",NA,27.7408010267831,0
"54",54,69,"F",62.2,136,"no",NA,24.712316870173,0
"55",55,58,"M",65.9,189.4,"yes","husky",30.6594578164829,1
"56",56,90,"F",62.1,134.8,"no",NA,24.5732170593894,0
"57",57,52,"M",71.4,169.7,"no",NA,23.4013409285283,0
"58",58,40,"F",61.6,129,"yes","poodle",23.8992136110643,0
"59",59,32,"M",69.8,184.5,"no",NA,26.6220104925247,0
"60",60,30,"M",68.3,181.6,"no",NA,27.3671619266478,0
"61",61,54,"F",58.8,130.5,"no",NA,26.5345168679717,0
"62",62,37,"M",67.9,177.2,"yes","lab",27.0196359976661,0
"63",63,40,"M",68.6,200.3,"yes","retriever",29.9218225399281,0
"64",64,29,"M",66.4,170.1,"no",NA,27.1221104296705,0
"65",65,71,"M",67.1,212.7,"yes","lab",33.2106805022199,1
"66",66,42,"M",68.8,175.8,"yes","lab",26.1094257030828,0
"67",67,85,"F",63,118.2,"no",NA,20.935903250189,0
"68",68,88,"M",68.3,178.3,"no",NA,26.8698511647649,0
"69",69,72,"F",62.4,131.5,"no",NA,23.7417046761999,0
"70",70,54,"M",67.4,172,"no",NA,26.6172987346899,0
"71",71,30,"M",68.4,173.3,"yes","retriever",26.0400422352177,0
"72",72,34,"F",64.3,137.5,"no",NA,23.3795462076338,0
"73",73,20,"M",70.7,204.7,"yes","retriever",28.7895144333589,0
"74",74,90,"F",63.9,133,"yes","husky",22.8984059110357,0
"75",75,65,"F",62.1,139.5,"no",NA,25.4299983663563,0
"76",76,43,"M",67.9,193.1,"no",NA,29.4440841486983,0
"77",77,60,"F",62.7,126.9,"yes","husky",22.6924749891257,0
"78",78,77,"F",61.9,126,"no",NA,23.1176972604206,0
"79",79,22,"M",69.8,176.1,"yes","retriever",25.4099514782309,0
"80",80,70,"M",67.9,142.8,"yes","poodle",21.7742890545526,0
"81",81,57,"M",70.9,153,"no",NA,21.3970689164699,0
"82",82,28,"M",70.4,183.8,"no",NA,26.0708693827479,0
"83",83,55,"M",68.5,216.5,"no",NA,32.4363578240716,1
"84",84,35,"F",63.6,155.7,"yes","retriever",27.060119259523,0
"85",85,46,"F",65,122.9,"no",NA,20.4493964497041,0
"86",86,44,"M",70,212.5,"yes","poodle",30.4872448979592,1
"87",87,38,"M",70.2,150.9,"no",NA,21.5263471887403,0
"88",88,82,"F",63.4,133.3,"no",NA,23.3134721213267,0
"89",89,48,"M",70.2,161.7,"yes","retriever",23.067000267855,0
"90",90,79,"M",70.7,173.2,"yes","husky",24.3592765015034,0
"91",91,43,"F",63.4,134.9,"yes","retriever",23.5933037446885,0
"92",92,72,"F",61,107.1,"yes","husky",20.2341574845472,0
"93",93,85,"M",68,174.9,"yes","retriever",26.5905493079585,0
"94",94,28,"M",71.2,180.1,"yes","lab",24.975204361823,0
"95",95,52,"F",59.8,111.6,"yes","husky",21.9390163420991,0
"96",96,61,"M",68.4,155.9,"yes","poodle",23.4255198180637,0
"97",97,64,"M",67.9,163.5,"no",NA,24.930646081368,0
"98",98,27,"M",68,161.3,"yes","husky",24.522902249135,0
"99",99,49,"M",68.6,161.9,"no",NA,24.1854371902864,0
"100",100,54,"F",64,120.9,"yes","retriever",20.7501708984375,0
"101",101,69,"M",68.3,182.3,"yes","poodle",27.4726520882593,0
"102",102,62,"F",64.5,130.1,"yes","lab",21.984327864912,0
"103",103,30,"M",69.7,169.4,"no",NA,24.51337871468,0
"104",104,38,"F",63,144.1,"yes","poodle",25.5233812043336,0
"105",105,75,"M",68.4,198.9,"no",NA,29.8866959064327,0
"106",106,20,"F",64.4,145.3,"no",NA,24.6291375718529,0
"107",107,87,"M",68.1,149.6,"yes","retriever",22.6773704559029,0
"108",108,35,"M",67.3,167.5,"no",NA,25.9980041021882,0
"109",109,50,"F",59.7,140.5,"no",NA,27.7129645996594,0
"110",110,33,"M",68.3,160.5,"yes","retriever",24.1873870552146,0
"111",111,61,"F",61.6,116,"yes","lab",21.4907657277787,0
"112",112,20,"M",69,195.4,"yes","lab",28.8523839529511,0
"113",113,39,"F",63,142.5,"yes","retriever",25.239984882842,0
"114",114,64,"F",61.1,135.3,"no",NA,25.4783149086175,0
"115",115,82,"M",68.4,162.2,"no",NA,24.3721572449643,0
"116",116,43,"F",63.3,129.6,"no",NA,22.7380337368882,0
"117",117,80,"M",68.8,178.5,"no",NA,26.5104237087615,0
"118",118,84,"M",70.7,190.8,"yes","retriever",26.8345840443814,0
"119",119,70,"M",69.7,164.1,"yes","lab",23.7464312106198,0
"120",120,63,"M",70.2,195.7,"yes","lab",27.9172044058084,0
"121",121,85,"F",62.7,137.1,"no",NA,24.516456430332,0
"122",122,56,"F",64.6,137.4,"no",NA,23.1460571844837,0
"123",123,66,"F",65.5,141,"yes","husky",23.1042480041956,0
"124",124,70,"M",66.6,214.1,"yes","retriever",33.9330997664331,1
"125",125,43,"M",70.7,169.6,"yes","retriever",23.8529635950057,0
"126",126,72,"M",69.7,174,"yes","poodle",25.1790312653738,0
"127",127,83,"M",69.3,200.8,"no",NA,29.3935854109014,0
"128",128,29,"F",62.8,118.8,"no",NA,21.1764168931802,0
"129",129,70,"M",69.3,160.1,"no",NA,23.4358218340902,0
"130",130,50,"M",69.5,179.3,"yes","husky",26.0955230060556,0
"131",131,27,"F",62.7,134.6,"no",NA,24.0694021555266,0
"132",132,80,"F",61.9,101.7,"no",NA,18.6592842173395,0
"133",133,28,"M",68.8,189,"no",NA,28.0698603975122,0
"134",134,55,"M",67.7,176.7,"no",NA,27.1028235176042,0
"135",135,32,"F",63.1,121.4,"no",NA,21.4345955530552,0
"136",136,36,"F",66,128.7,"yes","retriever",20.7704545454545,0
"137",137,84,"F",61.8,141.7,"no",NA,26.0824404855416,0
"138",138,50,"F",63.6,136,"yes","poodle",23.6363276769115,0
"139",139,24,"F",61.6,130,"no",NA,24.0844788328555,0
"140",140,68,"M",68.6,184.9,"no",NA,27.6212929986655,0
"141",141,59,"F",62.8,125.9,"no",NA,22.4420108320824,0
"142",142,70,"F",66,129.9,"no",NA,20.9641184573003,0
"143",143,33,"M",68,168.7,"yes","poodle",25.6479455017301,0
"144",144,24,"M",70.4,177.7,"no",NA,25.2056229016012,0
"145",145,54,"M",66.7,162.9,"no",NA,25.7409601046553,0
"146",146,90,"F",64.8,134,"no",NA,22.4341754305746,0
"147",147,46,"F",62.8,119.8,"no",NA,21.3546695606313,0
"148",148,71,"F",62.9,127.7,"yes","poodle",22.6905452164968,0
"149",149,53,"F",65.4,106.8,"yes","retriever",17.5537973795696,0
"150",150,83,"F",64.8,118,"no",NA,19.7554679164761,0
"151",151,26,"M",64.5,183.9,"yes","retriever",31.0754642148909,1
"152",152,63,"M",68.9,164.7,"no",NA,24.3899258722492,0
"153",153,32,"F",63.9,116.6,"yes","poodle",20.0748430768929,0
"154",154,36,"F",60.8,119.1,"yes","lab",22.6495682565789,0
"155",155,61,"F",63.6,129.4,"yes","retriever",22.4892705984732,0
"156",156,80,"M",68.6,161.2,"no",NA,24.0808676656835,0
"157",157,52,"F",60.4,101.7,"no",NA,19.5975779571071,0
"158",158,46,"F",63.3,137.3,"yes","poodle",24.0889817289719,0
"159",159,55,"M",66.9,174.8,"no",NA,27.4564584492393,0
"160",160,58,"F",62.8,126.4,"no",NA,22.5311371658079,0
"161",161,40,"F",61.1,111.4,"yes","retriever",20.9777108708056,0
"162",162,25,"M",70.9,192.6,"no",NA,26.9351338124974,0
"163",163,66,"M",68.4,164.7,"no",NA,24.7478070175439,0
"164",164,43,"M",71.4,154.8,"no",NA,21.3466563095827,0
"165",165,23,"F",62.6,143.5,"no",NA,25.7429646112546,0
"166",166,43,"F",63.7,149.3,"no",NA,25.8664166064929,0
"167",167,29,"F",63.1,134.1,"no",NA,23.6769296842232,0
"168",168,89,"F",66.3,134.8,"no",NA,21.5584811485796,0
"169",169,65,"M",69.3,191.5,"yes","husky",28.0322291144802,0
"170",170,54,"M",68.3,149.5,"yes","retriever",22.5296845156049,0
"171",171,80,"M",67.6,180.1,"yes","poodle",27.7061158572879,0
"172",172,38,"F",63.2,132.9,"yes","poodle",23.3908578352828,0
"173",173,22,"M",68.9,161.1,"no",NA,23.8568127384295,0
"174",174,73,"M",70,170.9,"no",NA,24.5189183673469,0
"175",175,74,"F",61,121.5,"no",NA,22.9547164740661,0
"176",176,53,"M",68.9,179.2,"no",NA,26.5371871056894,0
"177",177,55,"M",69.7,181.4,"yes","lab",26.2498636295334,0
"178",178,35,"F",64.2,138.2,"no",NA,23.5718306305257,0
"179",179,58,"M",68.8,202.8,"no",NA,30.1194057598702,1
"180",180,33,"F",64,129,"no",NA,22.140380859375,0
"181",181,49,"F",62.8,141.6,"no",NA,25.2405777110633,0
"182",182,46,"F",61.6,124.3,"yes","husky",23.0284670686456,0
"183",183,25,"M",68.3,181.5,"no",NA,27.3520919035604,0
"184",184,90,"M",70.7,163.3,"yes","retriever",22.9669160086346,0
"185",185,35,"M",71.9,154.2,"yes","poodle",20.9692027058134,0
"186",186,37,"M",69.3,186,"no",NA,27.2271259284246,0
"187",187,67,"M",69.6,206.3,"no",NA,29.9389161381953,0
"188",188,79,"M",69.9,203.6,"yes","retriever",29.2940047195974,0
"189",189,49,"F",65.3,126.4,"yes","husky",20.8389597780535,0
"190",190,71,"M",68.9,201.6,"no",NA,29.8543354939006,0
"191",191,59,"F",63.4,142.7,"yes","husky",24.9574829085771,0
"192",192,47,"F",64.1,119.5,"no",NA,20.4459442028227,0
"193",193,76,"F",65.3,134.3,"no",NA,22.1413947641818,0
"194",194,86,"F",65.9,114.1,"no",NA,18.4701379982085,0
"195",195,27,"M",69.7,166.4,"no",NA,24.0792574859667,0
"196",196,54,"F",64.6,123.5,"yes","retriever",20.8044982698962,0
"197",197,80,"F",63.8,129.1,"no",NA,22.2966804571496,0
"198",198,54,"M",65.6,162.5,"no",NA,26.5461174524093,0
"199",199,82,"F",62.5,122.2,"yes","retriever",21.9920896,0
"200",200,74,"M",68.4,172.9,"no",NA,25.9799382716049,0
"201",201,57,"M",71.5,174.7,"no",NA,24.0234925913248,0
"202",202,55,"M",67.1,192.8,"no",NA,30.1035223358157,1
"203",203,90,"F",61.7,141.2,"yes","retriever",26.074722411207,0
"204",204,79,"M",69.8,177.1,"yes","poodle",25.5542442180278,0
"205",205,71,"M",65,160.3,"yes","husky",26.6724023668639,0
"206",206,87,"M",68,155.1,"no",NA,23.5802984429066,0
"207",207,57,"F",63.8,168.1,"yes","husky",29.0323159167068,0
"208",208,49,"M",70.4,198.7,"no",NA,28.1843402957128,0
"209",209,40,"M",69.3,199.8,"yes","lab",29.2472030134368,0
"210",210,31,"F",65.1,111.4,"no",NA,18.479003117029,0
"211",211,35,"M",69.4,179.7,"no",NA,26.2291647634313,0
"212",212,39,"F",66,142.6,"no",NA,23.0137281910009,0
"213",213,41,"M",67.9,178.6,"no",NA,27.2331094197696,0
"214",214,79,"F",63.6,125.7,"yes","husky",21.8462234484395,0
"215",215,40,"M",67.3,174.8,"yes","lab",27.1310514451492,0
"216",216,27,"F",65.2,112.1,"no",NA,18.5381224359216,0
"217",217,62,"M",66.9,181.5,"yes","retriever",28.5088513074195,0
"218",218,78,"M",69.2,195,"yes","retriever",28.6271258645461,0
"219",219,40,"M",70.4,177.9,"no",NA,25.233991638688,0
"220",220,21,"M",70.6,166.6,"yes","poodle",23.4974600550522,0
"221",221,88,"M",70.1,167,"yes","retriever",23.8910787727335,0
"222",222,55,"M",67.7,188.6,"yes","retriever",28.9280844109799,0
"223",223,67,"F",62.6,123.9,"no",NA,22.2268523716686,0
"224",224,50,"F",64.5,122.3,"no",NA,20.6662820743946,0
"225",225,63,"F",63.7,127.2,"yes","retriever",22.0375632441118,0
"226",226,23,"M",68.7,195.4,"no",NA,29.1049200265272,0
"227",227,41,"F",61.7,130.8,"yes","lab",24.1542046132145,0
"228",228,33,"F",61.4,148.8,"no",NA,27.7473501045104,0
"229",229,28,"F",63.8,136.1,"yes","husky",23.5056406678394,0
"230",230,60,"M",69.1,167.8,"no",NA,24.7053600038536,0
"231",231,20,"F",59.8,146.7,"no",NA,28.8391908367915,0
"232",232,89,"F",62.8,138.1,"yes","retriever",24.6166933749848,0
"233",233,26,"F",62.1,125.6,"no",NA,22.8961132244756,0
"234",234,59,"F",59.8,132.6,"yes","poodle",26.0673258688382,0
"235",235,33,"F",62.3,135.9,"no",NA,24.6149347253104,0
"236",236,40,"F",62.9,132.2,"no",NA,23.4901337323483,0
"237",237,26,"M",68.8,190.4,"no",NA,28.2777852893456,0
"238",238,58,"M",68.6,171.3,"yes","retriever",25.5896565206674,0
"239",239,61,"F",60.4,135.7,"yes","husky",26.1493739309679,0
"240",240,89,"F",63.2,134.6,"no",NA,23.6900636917161,0
"241",241,79,"F",62.7,124,"no",NA,22.1738920303514,0
"242",242,89,"F",60.3,148.6,"no",NA,28.7302569518356,0
"243",243,56,"F",66.8,137.6,"no",NA,21.6780809638209,0
"244",244,52,"F",64.5,130.6,"no",NA,22.0688179796887,0
"245",245,41,"M",68.4,179.6,"no",NA,26.9866796621183,0
"246",246,65,"F",60.2,136.3,"no",NA,26.4398019889405,0
"247",247,41,"M",66.7,204.4,"no",NA,32.2986632620721,1
"248",248,46,"M",71.6,199.3,"no",NA,27.3298079023751,0
"249",249,62,"M",69.9,184.3,"no",NA,26.5171172388104,0
"250",250,78,"M",72,194.3,"yes","husky",26.3489390432099,0
"251",251,71,"M",68.2,190,"no",NA,28.7170732965833,0
"252",252,72,"M",68.9,178,"no",NA,26.3594827277496,0
"253",253,47,"F",64,113.9,"no",NA,19.5487548828125,0
"254",254,72,"F",64.1,144.4,"no",NA,24.7062288107749,0
"255",255,41,"M",69.7,211.9,"no",NA,30.6634294547857,1
"256",256,54,"F",62.2,137.9,"no",NA,25.0575624735063,0
"257",257,50,"M",67.3,160.9,"no",NA,24.9736051345796,0
"258",258,46,"F",63.2,134.4,"yes","retriever",23.6548630027239,0
"259",259,32,"F",62.6,139.1,"no",NA,24.9536332921638,0
"260",260,84,"M",71.4,152.9,"no",NA,21.0846495460929,0
"261",261,20,"M",69.1,158.5,"no",NA,23.3361118034016,0
"262",262,76,"M",69.3,178.3,"no",NA,26.0999814679468,0
"263",263,54,"F",64,125.4,"yes","lab",21.522509765625,0
"264",264,62,"M",68.9,171.5,"no",NA,25.3969173472418,0
"265",265,62,"M",68.9,184.3,"yes","lab",27.292430711934,0
"266",266,48,"M",71.3,162.2,"yes","poodle",22.4298885258543,0
"267",267,86,"F",62.2,146.6,"yes","husky",26.6384239203482,0
"268",268,70,"M",69.9,213.8,"no",NA,30.7615825591843,1
"269",269,71,"M",67.7,223,"no",NA,34.2044688422509,1
"270",270,89,"F",62,131.7,"no",NA,24.0856139438085,0
"271",271,24,"F",63,135.6,"no",NA,24.0178382464097,0
"272",272,45,"M",68.1,187.7,"no",NA,28.4528237605146,0
"273",273,38,"M",70,182.4,"yes","poodle",26.1688163265306,0
"274",274,68,"M",70.9,165.5,"yes","lab",23.1451954619331,0
"275",275,84,"F",63.7,124.4,"no",NA,21.552459650688,0
"276",276,58,"F",64.3,129.5,"yes","husky",22.0192817010079,0
"277",277,36,"F",63,137.2,"yes","lab",24.3012345679012,0
"278",278,50,"M",68.7,189.9,"yes","poodle",28.2856924925154,0
"279",279,65,"M",68.6,141.8,"no",NA,21.1827979838333,0
"280",280,62,"M",71.9,173.2,"yes","retriever",23.5529566060109,0
"281",281,72,"F",63.4,121.3,"yes","husky",21.2147349461135,0
"282",282,69,"M",69.1,167.8,"yes","lab",24.7053600038536,0
"283",283,55,"F",61.9,123,"no",NA,22.5672758970772,0
"284",284,78,"F",63.6,101.4,"no",NA,17.622967841462,0
"285",285,58,"F",64.8,103.7,"yes","retriever",17.3613730757506,0
"286",286,45,"F",68.1,119.6,"yes","husky",18.1297694286497,0
"287",287,64,"M",68.6,178.4,"no",NA,26.6502902702105,0
"288",288,38,"F",64.5,129.6,"yes","retriever",21.8998377501352,0
"289",289,60,"M",72.2,184,"yes","husky",24.814112844438,0
"290",290,49,"M",68.7,162.6,"no",NA,24.2193449146024,0
"291",291,30,"M",69.3,194.7,"no",NA,28.5006527863671,0
"292",292,22,"M",68.5,197.1,"no",NA,29.5298204486121,0
"293",293,67,"F",59.2,124.3,"yes","lab",24.9334881756757,0
"294",294,73,"M",68.9,182.5,"yes","poodle",27.0258741450241,0
"295",295,80,"F",61.4,168.9,"yes","retriever",31.4954800581439,1
"296",296,69,"F",64.6,143.7,"no",NA,24.2073392824622,0
"297",297,25,"F",61.6,124.7,"yes","lab",23.1025731573621,0
"298",298,38,"F",60.1,92,"yes","lab",17.9058197513296,0
"299",299,61,"F",63.2,118.6,"no",NA,20.8740085723442,0
"300",300,44,"F",61.8,146.3,"no",NA,26.9291534441407,0
"301",301,53,"F",64.1,122,"yes","poodle",20.8736836212918,0
"302",302,36,"F",62.2,127.2,"no",NA,23.113284602103,0
"303",303,36,"M",70.2,170.3,"no",NA,24.2938166086314,0
"304",304,36,"M",66.5,202,"no",NA,32.1117078410311,1
"305",305,52,"M",69.2,177.9,"no",NA,26.1167471348859,0
"306",306,87,"F",62.4,130.9,"no",NA,23.6333775065746,0
"307",307,66,"M",68.8,161.3,"yes","poodle",23.955917894808,0
"308",308,30,"M",67.4,181.4,"no",NA,28.0719650608881,0
"309",309,27,"F",63.2,122.2,"yes","lab",21.5076209742029,0
"310",310,78,"F",61,136.3,"no",NA,25.7508465466273,0
"311",311,60,"F",62.6,129.8,"yes","husky",23.2852739131766,0
"312",312,83,"M",69.9,202.3,"yes","husky",29.1069604851402,0
"313",313,22,"M",66,191.5,"no",NA,30.9055325987144,1
"314",314,42,"F",65.5,116.9,"yes","retriever",19.1552240545423,0
"315",315,62,"F",64.1,157.1,"yes","retriever",26.8791450565979,0
"316",316,83,"F",64.9,120.1,"no",NA,20.0451328463133,0
"317",317,38,"M",70,187.2,"yes","retriever",26.8574693877551,0
"318",318,21,"F",58.1,150.4,"yes","poodle",31.3221017830851,1
"319",319,48,"M",68,176.7,"yes","lab",26.8642084775086,0
"320",320,44,"M",70.1,173.3,"yes","husky",24.7923589899085,0
"321",321,47,"F",62.7,142.8,"no",NA,25.5357401768885,0
"322",322,42,"M",68.5,160.5,"yes","husky",24.0463530289307,0
"323",323,41,"F",63,123.7,"no",NA,21.9100781053162,0
"324",324,70,"M",68.8,195.2,"no",NA,28.9906706327745,0
"325",325,40,"M",68.2,193.5,"no",NA,29.2460720152045,0
"326",326,37,"F",63.6,103.3,"no",NA,17.9531812428306,0
"327",327,40,"M",69.1,152,"no",NA,22.3791103729782,0
"328",328,89,"M",69.1,172,"yes","lab",25.3237301588964,0
"329",329,57,"M",69.3,190.3,"yes","poodle",27.8565702375226,0
"330",330,90,"F",61.5,121.7,"yes","poodle",22.6201599576971,0
"331",331,28,"F",62.8,140.6,"yes","lab",25.0623250436123,0
"332",332,60,"F",63.5,139.2,"yes","husky",24.2687333374667,0
"333",333,26,"F",65.7,129.4,"yes","lab",21.0745767973515,0
"334",334,35,"F",61.6,132.1,"no",NA,24.473535798617,0
"335",335,64,"F",63.1,147.4,"yes","husky",26.0252008609583,0
"336",336,54,"F",64.2,118.6,"yes","lab",20.2287924224338,0
"337",337,70,"M",69.9,167.1,"no",NA,24.0423781367619,0
"338",338,47,"F",62.3,127.2,"no",NA,23.0391442020565,0
"339",339,29,"F",64.1,139.5,"yes","husky",23.8678595505755,0
"340",340,68,"M",65.9,182.7,"no",NA,29.5748835431437,0
"341",341,84,"F",62.5,119.1,"no",NA,21.4341888,0
"342",342,61,"M",68.1,176.3,"no",NA,26.7247353701583,0
"343",343,84,"M",67.8,191.2,"yes","lab",29.2404347334256,0
"344",344,78,"F",66.4,151.2,"yes","husky",24.1085426041515,0
"345",345,24,"M",69.5,154,"no",NA,22.4133326432379,0
"346",346,43,"M",67.1,157.5,"no",NA,24.5918297089781,0
"347",347,79,"M",70.2,181.9,"no",NA,25.9485921380508,0
"348",348,44,"M",68.7,190.2,"no",NA,28.3303776307342,0
"349",349,86,"M",70.1,184.3,"no",NA,26.3660228611663,0
"350",350,65,"M",69.5,166.8,"no",NA,24.2762589928058,0
"351",351,37,"F",64.9,125,"yes","poodle",20.8629609141479,0
"352",352,32,"M",67.9,182.5,"no",NA,27.8277853813435,0
"353",353,69,"F",61.8,124,"no",NA,22.8244362752799,0
"354",354,44,"M",68.3,183.3,"no",NA,27.6233523191329,0
"355",355,76,"M",66.1,154.9,"yes","lab",24.9232012194424,0
"356",356,38,"M",67.1,178.7,"no",NA,27.9019680571072,0
"357",357,74,"M",72.2,164.7,"no",NA,22.2113281819507,0
"358",358,67,"F",63.8,128.4,"no",NA,22.1757844360806,0
"359",359,78,"M",67.9,206.9,"yes","retriever",31.5483221665752,1
"360",360,87,"M",67.9,185.5,"yes","lab",28.2852284287081,0
"361",361,47,"M",70.7,151.9,"no",NA,21.363591804725,0
"362",362,34,"F",65.7,116.6,"no",NA,18.989920050782,0
"363",363,81,"M",69.9,172.1,"no",NA,24.7617790385202,0
"364",364,67,"F",62.4,138.3,"yes","poodle",24.9694125986193,0
"365",365,79,"M",72.2,184.7,"no",NA,24.908514360694,0
"366",366,58,"M",66.6,157.8,"yes","husky",25.01001001001,0
"367",367,87,"M",71.4,173.4,"yes","husky",23.9115646258503,0
"368",368,78,"M",68.2,198,"yes","retriever",29.9262132248605,0
"369",369,25,"F",64.2,136.6,"yes","retriever",23.2989295523141,0
"370",370,69,"M",67.6,225.1,"no",NA,34.6287988865936,1
"371",371,23,"M",68.2,179.3,"no",NA,27.0998486425125,0
"372",372,60,"M",68.7,166.2,"yes","poodle",24.7555665732283,0
"373",373,26,"F",63.4,139,"no",NA,24.310372279553,0
"374",374,50,"F",64,133.7,"yes","poodle",22.9470458984375,0
"375",375,68,"F",64,138.6,"yes","poodle",23.788037109375,0
"376",376,63,"F",64.4,128.2,"yes","retriever",21.7305948844566,0
"377",377,74,"M",68.2,171.5,"yes","lab",25.9209372124423,0
"378",378,64,"M",69.4,192.7,"yes","poodle",28.1266558147647,0
"379",379,82,"M",70.9,170.3,"no",NA,23.816476055391,0
"380",380,35,"F",63.4,135.5,"yes","retriever",23.6982406034491,0
"381",381,64,"M",68.5,179.4,"no",NA,26.8779796472907,0
"382",382,81,"F",65,109.1,"no",NA,18.1532071005917,0
"383",383,82,"M",67.2,165.6,"yes","husky",25.7796556122449,0
"384",384,67,"F",61.3,136.3,"yes","poodle",25.4994158645338,0
"385",385,28,"F",64.6,119.6,"yes","husky",20.1475141140047,0
"386",386,44,"M",71.8,183.7,"no",NA,25.0504535191378,0
"387",387,77,"F",64.4,147.1,"yes","lab",24.934247328421,0
"388",388,22,"M",70.2,153.2,"no",NA,21.8544492333666,0
"389",389,44,"M",68.8,179,"yes","lab",26.584682598702,0
"390",390,45,"F",62.4,128.2,"no",NA,23.145905243261,0
"391",391,46,"F",66.1,133.8,"no",NA,21.5282396588857,0
"392",392,80,"M",70.8,192.5,"no",NA,26.9972509495994,0
"393",393,35,"F",63.8,134.4,"no",NA,23.2120360452433,0
"394",394,37,"F",62.7,150.1,"yes","lab",26.8411386593205,0
"395",395,59,"M",66.3,172.5,"no",NA,27.5878189772254,0
"396",396,45,"M",67.1,186.7,"no",NA,29.151076867722,0
"397",397,65,"M",70.2,165.2,"yes","retriever",23.5662859879384,0
"398",398,88,"M",69,166.7,"no",NA,24.614597773577,0
"399",399,21,"M",68.9,168.4,"yes","lab",24.9378477042305,0
"400",400,71,"M",69.5,175.2,"yes","retriever",25.4988044097096,0
"401",401,54,"F",60.3,137.1,"yes","retriever",26.5068521406236,0
"402",402,27,"M",66.8,180.8,"yes","poodle",28.4839901036251,0
"403",403,33,"M",69.1,181.4,"yes","poodle",26.7077014582779,0
"404",404,82,"M",71.8,186.6,"yes","retriever",25.4459152241215,0
"405",405,89,"M",70.3,157.5,"yes","lab",22.4039829302987,0
"406",406,56,"M",70.5,166.3,"no",NA,23.5217343191992,0
"407",407,69,"F",62,111.9,"yes","poodle",20.4645421436004,0
"408",408,27,"F",59.6,122.3,"no",NA,24.2041180577451,0
